date,website,provider,network,contract_length,plan_name,plan_name_group,plan_data,onetime_charge,onetime_promo,upfront_total,promo_months,promo_price,contract_price,weighted_average_monthly_price,two_year_cost,plan_minutes,plan_sms,download_speed,throttle_speed,plan_young,is_5g,url
2023-02-01,Saturn,MediaMarktSaturn,o2,24,Green LTE 12GB,Green LTE 12GB,12.0,39.99,150.0,-110.01,0,0.0,1299.0,1299.0,31065.99,999.0,0.0,50.0,,0,False,https://handytarife.saturn.de/tarife/telefonica/tef-green-lte-12gb-spezial
2023-02-01,Saturn,MediaMarktSaturn,o2,24,Green LTE 6GB Spezial,Green LTE 6GB,6.0,39.99,80.0,-40.01,0,0.0,799.0,799.0,19135.99,999.0,0.0,50.0,,0,False,https://handytarife.saturn.de/tarife/telefonica/tef-green-lte-6gb-spezial
2023-02-01,Saturn,MediaMarktSaturn,o2,24,Super Select L,Super Select L,14.0,29.99,140.0,-110.01,0,0.0,1899.0,1899.0,45465.99,999.0,999.0,50.0,,0,False,https://handytarife.saturn.de/tarife/super-select/superselect-l-inkl-coupon
2023-02-01,Saturn,MediaMarktSaturn,o2,24,Super Select M,Super Select M,11.0,29.99,120.0,-90.01,0,0.0,1299.0,1299.0,31085.99,999.0,999.0,50.0,,0,False,https://handytarife.saturn.de/tarife/super-select/superselect-m-inkl-coupon
2023-02-01,Saturn,MediaMarktSaturn,o2,24,Super Select S,Super Select S,8.0,29.99,75.0,-45.01,0,0.0,999.0,999.0,23930.99,999.0,999.0,50.0,,0,False,https://handytarife.saturn.de/tarife/super-select/superselect-s-inkl-coupon
2023-02-01,Saturn,MediaMarktSaturn,o2,24,Super Select XS,Super Select XS,2.0,29.99,0.0,29.99,0,0.0,799.0,799.0,19205.99,999.0,999.0,50.0,,0,False,https://handytarife.saturn.de/tarife/super-select/superselect-xs
2023-02-01,Saturn,Mobilcom Debitel,Telekom,24,Green Data L,Green Data L,10.0,39.99,150.0,-110.01,0,0.0,1999.0,1999.0,47865.99,0.0,0.0,150.0,,0,False,https://handytarife.saturn.de/tarife/telekom/green-data-l-tm
2023-02-01,Saturn,Mobilcom Debitel,Telekom,24,Green Data M,Green Data M,5.0,39.99,120.0,-80.01,0,0.0,1499.0,1499.0,35895.99,0.0,0.0,50.0,,0,False,https://handytarife.saturn.de/tarife/telekom/green-data-m-tm
2023-02-01,Saturn,Mobilcom Debitel,Telekom,24,Green Data S,Green Data S,1.0,39.99,70.0,-30.01,0,0.0,999.0,999.0,23945.99,0.0,0.0,25.0,,0,False,https://handytarife.saturn.de/tarife/telekom/green-data-s-tm
2023-02-01,Saturn,Mobilcom Debitel,Telekom,24,Green Data XL Spezial,Green Data XL,25.0,39.99,100.0,-60.01,0,0.0,1999.0,1999.0,47915.99,0.0,0.0,300.0,,0,False,https://handytarife.saturn.de/tarife/telekom/green-data-xl-spezial-tm
